,Area Name:,Latitude,Longitude
0,Slawston Bridge,2.532,-0.849
1,Greetwell Quarry,3.238,-0.496
2,Finedon Slabs,2.341,-0.660
3,Rothley Brook Bridge,2.714,-1.125
4,Histon Road Recreation Boulder,2.218,0.110
5,Mountsorrel Crags,2.729,-1.139
6,Victoria Avenue Road Bridge,2.212,0.124
7, Mountsorrel Quarry,2.730,-1.149
8,Fen Ditton Railway Bridge (The Was),2.218,0.181
9,Trent Bridge Walls and Tunnels,2.938,-1.135
10,Nunckley Quarry,2.723,-1.158
11, Leicester (Buildering),2.636,-1.134
12,Forest Rock,2.722,-1.214
13,Terrace Wall,2.936,-1.195
14,Stable Pit (Bradgate Park Crags),2.685,-1.211
15,Sliding Stone Crag (Bradgate Park Crags),2.697,-1.217
16,Windmill Hill,2.724,-1.222
17,Hangstone Rocks,2.733,-1.227
18,Wishing-Stone Crag (Bradgate Park Crags),2.685,-1.223
19, The Outwoods,2.746,-1.240
20,Buck Hill,2.739,-1.247
21,Old Wood,2.676,-1.236
22, Beacon Hill,2.729,-1.249
23, Froanes Hill (Rawsons Pit Old Enderby Quarry),2.594,-1.212
24, Bromham Hall Gateposts,2.152,-0.503
25,Hemlock Stone Crags,2.944,-1.260
26, Markfield Quarry,2.689,-1.282
27,Altar Stones,2.694,-1.285
28,Morley Quarry,2.757,-1.296
29,Timberwood Hill,2.729,-1.303
30,Oaks Pinnacle,2.740,-1.310
31,Blackbrook Reservoir,2.750,-1.313
32,Croft Crags,2.558,-1.248
33,Stoney Clouds,2.935,-1.293
34,Warren Hills,2.729,-1.319
35,Bardon Hill,2.714,-1.321
36,High Tor,2.739,-1.328
37,High Sharpley,2.749,-1.336
38,Ratchet Hill,2.743,-1.339
39, Odeon Quarry,3.134,-1.200
40,Whitwick Quarry,2.739,-1.341
41,Nutbrook Derby Bridge Walls,2.967,-1.325
42, Cademan Wood and Broad Hill,2.749,-1.357
43,Grace Dieu Boulder,2.754,-1.362
44,Pleasley Vale,3.181,-1.212
45,Meden Trail Tunnel Pleasley,3.177,-1.230
46,Pleasley Chimney Wall,3.178,-1.230
47,Vale View Boulder,3.179,-1.228
48,William hollins boulder,3.180,-1.229
49,Forge Lane Quarry,3.184,-1.234
50,Pleasley Park Quarry,3.185,-1.234
51,Catesby road railway bridge (disused),2.361,-1.246
52,Ashlawn road railway bridge (disused),2.354,-1.244
53,Ticknall Lime Yards,2.811,-1.468
54,Crag H,2.987,-1.443
55,Little Eaton Quarry,2.983,-1.457
56, Hollin Hill,3.271,-1.241
57,Carver's Rocks,2.801,-1.510
58,Gnomon,2.050,-0.736
59, Troll Wall,2.065,-0.819
60,Crag E,3.031,-1.482
61,Anston Stones Wood,3.344,-1.209
62,Acresford quarry,2.716,-1.552
63,Crich Tors,3.079,-1.480
64,Chasecliffe,3.076,-1.488
65,Shining Cliff,3.067,-1.502
66,Duke's Quarry,3.087,-1.504
67,Robin Hood Quarries,3.090,-1.503
68,Leashaw Brow,3.099,-1.502
69, Caludon Castle,2.418,-1.452
70, Eastwood Rocks,3.164,-1.463
71, Roche Abbey,3.404,-1.186
72,Birchwood Quarry,3.093,-1.516
73,Ravensnest Tor,3.144,-1.484
74,Demonsdale,3.157,-1.477
75, Turningstone Edge,3.154,-1.488
76,The Alport Stone,3.061,-1.548
77,Mervyn Stutter,3.171,-1.481
78,Pointers Field boulder,2.648,1.285
79,Crag W,3.105,-1.533
80, Bradley Edge and Quarry,3.158,-1.498
81,Bauston Tor,3.101,-1.545
82,Brecksit Boulder,3.120,-1.539
83,Napton Hill Doggers,2.249,-1.333
84,School crags,3.423,-1.213
85,Bentley Brook,3.145,-1.528
86, The Charterhouse,2.401,-1.494
87,Black Garden,3.102,-1.560
88,Black Rocks,3.098,-1.562
89, Willersley Castle Rocks,3.110,-1.557
90,Stone Edge,3.201,-1.492
91,NIMBY,3.094,-1.574
92, The C,3.125,-1.556
93,Corley Rocks,2.464,-1.554
94,Long Tor Quarry,3.125,-1.560
95, The P,3.135,-1.554
96,Pic Tor,3.135,-1.555
97,Via Gellia Buttress,3.109,-1.574
98, Crag S,3.130,-1.563
99,Upper Matlock Quarries,3.146,-1.558
100,U Buttress,3.133,-1.584
101,Darley Dale Quarry,3.161,-1.573
102,Miner's Ten,3.079,-1.631
103,Hall Moor Quarry,3.168,-1.583
104, Nearcliff Wood,3.487,-1.209
105,Little Don Wall,3.507,-1.173
106,Kettle Brook Bridge,2.630,-1.690
107,Warwick Sport Rock Garden,2.382,-1.558
108,Harland Edge,3.210,-1.561
109, Harborough Rocks,3.094,-1.640
110,The Thief Block,3.495,-1.203
111,Gibbet Hill Middle Quarry,2.374,-1.554
112,Red and Black Crag,3.282,-1.498
113, The Warp Pipe,2.381,-1.560
114, Levitt Hagg,3.504,-1.190
115, Sprotbrough,3.510,-1.180
116, Hooton,3.465,-1.264
117,Manystones,3.093,-1.649
118, Cadeby Quarry,3.494,-1.218
119,Wirksworth Dale,3.088,-1.654
120,Bond's Quarries,3.191,-1.588
121,North Field Quarry,3.487,-1.238
122,Radford Railway Viaduct No 33A (disused),2.281,-1.484
123,Crag A,3.178,-1.603
124,The Green Man Bridge,1.867,0.247
125,Earth Quarry,3.493,-1.231
126, Boston Castle,3.418,-1.354
127,Hillcar Wood,3.169,-1.619
128,Rowsley Wood,3.191,-1.604
129,Rabbit Warren,3.215,-1.590
130,Crumps Farm Bridge,1.867,0.302
131,Stanton Moor,3.167,-1.629
132,Church Lane Bridge,1.867,0.303
133,Stanton in the Woods,3.160,-1.641
134,Duke's Seat Buttress,3.219,-1.598
135,Gun Rock,3.242,-1.581
136, Rowtor Rocks,3.156,-1.649
137,Doll Tor,3.160,-1.648
138, Eagle Tor,3.155,-1.654
139,Chatsworth Edge,3.244,-1.588
140,Birchen Edge,3.251,-1.583
141,New Heeley Boulder,3.362,-1.471
142,High Street Bridge,2.284,-1.532
143,Bath Place Viaducts,2.285,-1.534
144, Cratcliffe Tor,3.158,-1.661
145,Dobb Edge,3.241,-1.599
146,Robin Hood's Stride,3.157,-1.666
147,Maid Marion's Mound,3.155,-1.669
148, Gardom's Edge,3.255,-1.594
149, Harthill Quarry,3.151,-1.676
150,End of the Line Bridge,1.861,0.387
151,Furnival Gate,3.378,-1.472
152,Woodcote Lane Bridge,2.322,-1.584
153,Cemetery Park Boulder,3.370,-1.483
154,Milverton Section,2.297,-1.562
155, Sharrow View Flats,3.367,-1.488
156,Clifftop Boulders,3.154,-1.679
157,Barnburgh Cliff,3.528,-1.252
158,Broken Bridge,1.865,0.417
159,Nuda's Tartan,3.177,-1.670
160,Burton Dassett Hills,2.165,-1.421
161,Boardwalk Cave (Dovedale),3.072,-1.733
162,Rheinstor,3.176,-1.674
163, Bench Buttress,3.175,-1.677
164, Broomgrove Road Wall,3.374,-1.493
165,Droppingwell Quarry,3.440,-1.408
166,Baslow Edge,3.265,-1.610
167, Southbourne Road Walls,3.374,-1.500
168,Mushroom Lane,3.384,-1.490
169,Crewe Flats,3.373,-1.503
170,Woodloes Lane Bouldering,2.309,-1.596
171,Ponderosa Boulder,3.385,-1.490
172,Endcliffe Student Village,3.372,-1.508
173, Broomhills Ind Est,1.878,0.534
174,Sewer Wall Braintree,1.890,0.577
175, Curbar Edge,3.276,-1.619
176,Langsett Crescent Park Boulder,3.396,-1.493
177,Disused Railway Bridge Braintree,1.874,0.532
178,London Road Bridge,1.875,0.546
179,White Edge,3.299,-1.607
180,Bole Hill Recreation Ground,3.389,-1.510
181,Houndkirk Tor,3.328,-1.584
182, Froggatt Edge,3.287,-1.628
183,Tegness Quarries,3.299,-1.619
184, Cookson Park Boulder,3.417,-1.489
185,Lound Hill,3.568,-1.250
186,Burbage Brook,3.319,-1.604
187,Burbage South Edge,3.327,-1.599
188,Bell Hagg,3.378,-1.545
189,Burbage South Quarries,3.325,-1.603
190,Yarncliffe,3.311,-1.618
191, Barncliffe Quarry,3.375,-1.550
192,The Ox Stones,3.345,-1.584
193,D H plane,1.768,-0.236
194,Burbage South Valley Boulders,3.328,-1.602
195,Robo's Bridge,2.469,-1.759
196, Dovedale,3.079,-1.790
197,Secret Garden,3.320,-1.620
198,Carl Wark,3.329,-1.611
199,The Tube,3.079,-1.793
200, Lawrencefield,3.315,-1.627
201, Burbage North,3.340,-1.603
202,Fox Hagg,3.374,-1.567
203,Mother Cap and Quarry,3.321,-1.624
204,The Sheepfold,3.329,-1.619
205,Over Owler Tor,3.323,-1.625
206,Millstone Edge,3.320,-1.629
207, Higgar Tor,3.334,-1.616
208,Stoney Middleton,3.279,-1.669
209,Burbage West,3.341,-1.610
210, Rock Hall,3.290,-1.664
211,Cat Hill,3.532,-1.362
212, Rivelin Edge,3.382,-1.579
213,Cucklett Delph,3.282,-1.679
214,St Austin's Stone,3.798,-0.584
215,Wyming Brook,3.372,-1.594
216, Rivelin Quarries,3.381,-1.589
217, Compton Verney,2.173,-1.546
218,Tom's Cave,3.281,-1.693
219, Stanage Popular,3.346,-1.632
220,Carrhead Rocks,3.342,-1.639
221,Burtinat Rock,3.382,-1.600
222,Reddicar Clough,3.381,-1.604
223,Lees Bottom,3.229,-1.745
224,Ina’s Rock and Alton Cliff,2.982,-1.872
225, Stanage Plantation,3.353,-1.639
226,Fossil Wall,3.234,-1.748
227, The Wave,3.232,-1.751
228,The Head Stone,3.383,-1.617
229, Crag X,3.251,-1.742
230,Brownlow Rocher,3.457,-1.533
231,Water-cum-Jolly,3.251,-1.751
232, Stanage North,3.364,-1.657
233, Meander Bonanza,3.648,-1.229
234,Farley Woods,2.991,-1.906
235,Tideswell Dale,3.259,-1.769
236,Ousal Dale,2.988,-1.914
237,Wright's Rock Area,2.984,-1.915
238,Smeaton Edge,3.650,-1.244
239, Raven Tor (Miller's Dale),3.256,-1.776
240, Peakstone Inn Amphitheatre,2.983,-1.919
241,Agden Rocher,3.436,-1.604
242,Squirrel Buttress,3.256,-1.782
243,Peakstone Rock,2.977,-1.925
244, Bamford Edge,3.361,-1.689
245,Wharncliffe Crags,3.475,-1.556
246,Dimmings Dale,2.985,-1.924
247, Church crag,3.651,-1.259
248,Blindside Rocks,3.415,-1.635
249,Stoney Dale,2.993,-1.926
250,Iain's Strines Roof (Sugworth Edge),3.406,-1.650
251,Viaduct Buttress,3.256,-1.792
252,Cut Throat Buttress,3.382,-1.681
253, Priddock Wood,3.375,-1.690
254,Threapwood Woods,2.986,-1.936
255,Ladybower Quarry,3.378,-1.688
256,Garston Rocks,3.025,-1.926
257,Blackwell Dale,3.252,-1.803
258,Strawberry Quarry,3.257,-1.801
259,Ladybower Tor,3.378,-1.694
260,Strawberry Rocks,3.257,-1.804
261,Smallfield,3.442,-1.624
262,The Hurkling Stones (Rock Ahoy),3.386,-1.697
263, Chee Dale Upper,3.254,-1.818
264, Chee Dale Lower,3.257,-1.819
265,The Wheelstones (AKA Coach and Horses),3.393,-1.698
266,New Hill Crag (Formally known as Burton Bank),3.566,-1.469
267,Hockley Flyover Underpass,2.495,-1.915
268,Harston Rocks,3.028,-1.950
269,Foxt Crag,3.032,-1.949
270,Hurkling Stones,3.448,-1.641
271,White Tor,3.396,-1.703
272,Crook Hill,3.381,-1.728
273,Dovestone Tor,3.405,-1.705
274,Deep Dale,3.237,-1.855
275,Haywood cliffs,2.794,-2.003
276,Cave Dale (Castleton),3.341,-1.775
277, Sandy Gate Quarry,3.666,-1.316
278,Dirtlow Rake,3.330,-1.787
279,Back Tor,3.415,-1.704
280, Howshaw Tor,3.419,-1.704
281,"Canal bridge, Somerset rd",2.458,-1.927
282,Abbey Brook Gorgelet and Crag,3.429,-1.699
283,Wind Hill Farm Outcrop,3.483,-1.635
284,University of Birmingham Buildings,2.450,-1.931
285,The Bournebrook Wall,2.448,-1.931
286, Conies Dale,3.321,-1.815
287, Sharpcliffe Rocks,3.066,-1.978
288,The Arch,3.344,-1.801
289,Odin Cave,3.347,-1.801
290,Belmont Hall Crags,3.051,-1.992
291,Sam's Hidden Crag,2.778,-2.041
292,Widwal Slabs,1.711,0.448
293,High Edge Buxton,3.219,-1.915
294,Ramshaw Rocks,3.157,-1.972
295,Grinlow Hill (Solomon's Temple),3.242,-1.922
296, Bo Selecta,1.846,0.944
297,Newstones and Baldstones,3.172,-1.973
298, Hen Cloud,3.152,-1.989
299,Gib Torr,3.180,-1.974
300, Roaches Lower Tier,3.157,-1.993
301,Corbar Cross,3.266,-1.925
302, Roaches Upper Tier,3.158,-1.993
303, Thurlstone Quarry (High Bank Lane),3.528,-1.662
